model,pooling,match_strategy,C,seed,auc,test_pos,test_neg,embedding_dim,n_pairs_sampled,n_pairs_total,runtime_sec
dinov2-small,cls,clip_matched,0.01,42,0.869156,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,0.1,42,0.871111,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,1.0,42,0.8672,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,10.0,42,0.869244,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,0.01,7,0.918933,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,0.1,7,0.912356,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,1.0,7,0.907911,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,10.0,7,0.909689,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,0.01,17,0.865956,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,0.1,17,0.851378,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,1.0,17,0.8416,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,10.0,17,0.840356,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,0.01,23,0.887822,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,0.1,23,0.88,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,1.0,23,0.8752,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,10.0,23,0.872889,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,0.01,99,0.893867,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,0.1,99,0.889067,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,1.0,99,0.882133,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,10.0,99,0.880533,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,0.01,1234,0.868622,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,0.1,1234,0.877867,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,1.0,1234,0.881244,75,75,384,250,265,0.15
dinov2-small,cls,clip_matched,10.0,1234,0.877511,75,75,384,250,265,0.15
dinov2-small,cls,aspect_matched,0.01,42,0.8592,75,75,384,250,265,0.29
dinov2-small,cls,aspect_matched,0.1,42,0.863822,75,75,384,250,265,0.29
dinov2-small,cls,aspect_matched,1.0,42,0.860444,75,75,384,250,265,0.29
dinov2-small,cls,aspect_matched,10.0,42,0.858667,75,75,384,250,265,0.29
dinov2-small,cls,aspect_matched,0.01,7,0.922489,75,75,384,250,265,0.29
dinov2-small,cls,aspect_matched,0.1,7,0.917156,75,75,384,250,265,0.29
dinov2-small,cls,aspect_matched,1.0,7,0.911644,75,75,384,250,265,0.29
dinov2-small,cls,aspect_matched,10.0,7,0.910933,75,75,384,250,265,0.29
