model,pooling,dataset_size,k,auc,test_pos,test_neg,embedding_dim,runtime_sec
dinov2-small,cls,50,1,0.6,15,15,384,0.12
dinov2-small,cls,50,5,0.755556,15,15,384,0.12
dinov2-small,cls,50,11,0.844444,15,15,384,0.12
dinov2-small,cls,100,1,0.716667,30,30,384,0.22
dinov2-small,cls,100,5,0.868333,30,30,384,0.22
dinov2-small,cls,100,11,0.838889,30,30,384,0.22
dinov2-small,cls,250,1,0.786629,74,76,384,0.33
dinov2-small,cls,250,5,0.863442,74,76,384,0.33
dinov2-small,cls,250,11,0.881935,74,76,384,0.33
dinov2-small,patch_mean,50,1,0.666667,15,15,384,0.11
dinov2-small,patch_mean,50,5,0.835556,15,15,384,0.11
dinov2-small,patch_mean,50,11,0.857778,15,15,384,0.11
dinov2-small,patch_mean,100,1,0.833333,30,30,384,0.2
dinov2-small,patch_mean,100,5,0.902778,30,30,384,0.2
dinov2-small,patch_mean,100,11,0.892222,30,30,384,0.2
dinov2-small,patch_mean,250,1,0.812945,74,76,384,0.3
dinov2-small,patch_mean,250,5,0.904872,74,76,384,0.3
dinov2-small,patch_mean,250,11,0.906383,74,76,384,0.3
dinov2-small,patch_max,50,1,0.733333,15,15,384,0.1
dinov2-small,patch_max,50,5,0.893333,15,15,384,0.1
dinov2-small,patch_max,50,11,0.875556,15,15,384,0.1
dinov2-small,patch_max,100,1,0.8,30,30,384,0.19
dinov2-small,patch_max,100,5,0.88,30,30,384,0.19
dinov2-small,patch_max,100,11,0.866667,30,30,384,0.19
dinov2-small,patch_max,250,1,0.839438,74,76,384,0.28
dinov2-small,patch_max,250,5,0.90176,74,76,384,0.28
dinov2-small,patch_max,250,11,0.886824,74,76,384,0.28
dinov2-small,patch_gem,50,1,0.666667,15,15,384,0.11
dinov2-small,patch_gem,50,5,0.906667,15,15,384,0.11
dinov2-small,patch_gem,50,11,0.928889,15,15,384,0.11
dinov2-small,patch_gem,100,1,0.816667,30,30,384,0.21
dinov2-small,patch_gem,100,5,0.916667,30,30,384,0.21
dinov2-small,patch_gem,100,11,0.933333,30,30,384,0.21
dinov2-small,patch_gem,250,1,0.852952,74,76,384,0.31
dinov2-small,patch_gem,250,5,0.917852,74,76,384,0.31
dinov2-small,patch_gem,250,11,0.894826,74,76,384,0.31
dinov2-small,cls_patch,50,1,0.666667,15,15,768,0.11
dinov2-small,cls_patch,50,5,0.84,15,15,768,0.11
dinov2-small,cls_patch,50,11,0.897778,15,15,768,0.11
dinov2-small,cls_patch,100,1,0.8,30,30,768,0.2
dinov2-small,cls_patch,100,5,0.898889,30,30,768,0.2
dinov2-small,cls_patch,100,11,0.877778,30,30,768,0.2
dinov2-small,cls_patch,250,1,0.819879,74,76,768,0.31
dinov2-small,cls_patch,250,5,0.884691,74,76,768,0.31
dinov2-small,cls_patch,250,11,0.891892,74,76,768,0.31
dinov2-small,multicrop,50,1,0.633333,15,15,384,0.1
dinov2-small,multicrop,50,5,0.773333,15,15,384,0.1
dinov2-small,multicrop,50,11,0.773333,15,15,384,0.1
dinov2-small,multicrop,100,1,0.766667,30,30,384,0.2
dinov2-small,multicrop,100,5,0.848889,30,30,384,0.2
dinov2-small,multicrop,100,11,0.863333,30,30,384,0.2
dinov2-small,multicrop,250,1,0.806188,74,76,384,0.3
dinov2-small,multicrop,250,5,0.871977,74,76,384,0.3
dinov2-small,multicrop,250,11,0.895804,74,76,384,0.3
dinov2-base,cls,50,1,0.633333,15,15,768,0.1
dinov2-base,cls,50,5,0.795556,15,15,768,0.1
dinov2-base,cls,50,11,0.795556,15,15,768,0.1
dinov2-base,cls,100,1,0.783333,30,30,768,0.19
dinov2-base,cls,100,5,0.88,30,30,768,0.19
dinov2-base,cls,100,11,0.89,30,30,768,0.19
dinov2-base,cls,250,1,0.819879,74,76,768,0.32
dinov2-base,cls,250,5,0.877312,74,76,768,0.32
dinov2-base,cls,250,11,0.894559,74,76,768,0.32
dinov2-base,patch_mean,50,1,0.733333,15,15,768,0.11
dinov2-base,patch_mean,50,5,0.853333,15,15,768,0.11
dinov2-base,patch_mean,50,11,0.853333,15,15,768,0.11
dinov2-base,patch_mean,100,1,0.85,30,30,768,0.2
dinov2-base,patch_mean,100,5,0.871111,30,30,768,0.2
dinov2-base,patch_mean,100,11,0.858889,30,30,768,0.2
dinov2-base,patch_mean,250,1,0.819701,74,76,768,0.29
dinov2-base,patch_mean,250,5,0.911273,74,76,768,0.29
dinov2-base,patch_mean,250,11,0.910384,74,76,768,0.29
dinov2-base,patch_max,50,1,0.7,15,15,768,0.12
dinov2-base,patch_max,50,5,0.808889,15,15,768,0.12
dinov2-base,patch_max,50,11,0.822222,15,15,768,0.12
dinov2-base,patch_max,100,1,0.833333,30,30,768,0.21
dinov2-base,patch_max,100,5,0.861667,30,30,768,0.21
dinov2-base,patch_max,100,11,0.862222,30,30,768,0.21
dinov2-base,patch_max,250,1,0.799609,74,76,768,0.3
dinov2-base,patch_max,250,5,0.899182,74,76,768,0.3
dinov2-base,patch_max,250,11,0.893492,74,76,768,0.3
dinov2-base,patch_gem,50,1,0.7,15,15,768,0.11
dinov2-base,patch_gem,50,5,0.888889,15,15,768,0.11
dinov2-base,patch_gem,50,11,0.84,15,15,768,0.11
dinov2-base,patch_gem,100,1,0.85,30,30,768,0.2
dinov2-base,patch_gem,100,5,0.875,30,30,768,0.2
dinov2-base,patch_gem,100,11,0.894444,30,30,768,0.2
dinov2-base,patch_gem,250,1,0.799787,74,76,768,0.31
dinov2-base,patch_gem,250,5,0.893492,74,76,768,0.31
dinov2-base,patch_gem,250,11,0.900427,74,76,768,0.31
dinov2-base,cls_patch,50,1,0.733333,15,15,1536,0.11
dinov2-base,cls_patch,50,5,0.822222,15,15,1536,0.11
dinov2-base,cls_patch,50,11,0.786667,15,15,1536,0.11
dinov2-base,cls_patch,100,1,0.816667,30,30,1536,0.2
dinov2-base,cls_patch,100,5,0.897778,30,30,1536,0.2
dinov2-base,cls_patch,100,11,0.872222,30,30,1536,0.2
dinov2-base,cls_patch,250,1,0.819879,74,76,1536,0.33
dinov2-base,cls_patch,250,5,0.894559,74,76,1536,0.33
dinov2-base,cls_patch,250,11,0.908962,74,76,1536,0.33
dinov2-base,multicrop,50,1,0.666667,15,15,768,0.12
dinov2-base,multicrop,50,5,0.797778,15,15,768,0.12
dinov2-base,multicrop,50,11,0.808889,15,15,768,0.12
dinov2-base,multicrop,100,1,0.8,30,30,768,0.21
dinov2-base,multicrop,100,5,0.886667,30,30,768,0.21
dinov2-base,multicrop,100,11,0.905556,30,30,768,0.21
dinov2-base,multicrop,250,1,0.79303,74,76,768,0.3
dinov2-base,multicrop,250,5,0.882112,74,76,768,0.3
dinov2-base,multicrop,250,11,0.893492,74,76,768,0.3
dinov2-large,cls,50,1,0.766667,15,15,1024,0.11
dinov2-large,cls,50,5,0.755556,15,15,1024,0.11
dinov2-large,cls,50,11,0.764444,15,15,1024,0.11
dinov2-large,cls,100,1,0.75,30,30,1024,0.2
dinov2-large,cls,100,5,0.774444,30,30,1024,0.2
dinov2-large,cls,100,11,0.79,30,30,1024,0.2
dinov2-large,cls,250,1,0.753023,74,76,1024,0.32
dinov2-large,cls,250,5,0.854285,74,76,1024,0.32
dinov2-large,cls,250,11,0.871711,74,76,1024,0.32
dinov2-large,patch_mean,50,1,0.7,15,15,1024,0.11
dinov2-large,patch_mean,50,5,0.848889,15,15,1024,0.11
dinov2-large,patch_mean,50,11,0.795556,15,15,1024,0.11
dinov2-large,patch_mean,100,1,0.866667,30,30,1024,0.2
dinov2-large,patch_mean,100,5,0.912222,30,30,1024,0.2
dinov2-large,patch_mean,100,11,0.868889,30,30,1024,0.2
dinov2-large,patch_mean,250,1,0.813122,74,76,1024,0.3
dinov2-large,patch_mean,250,5,0.899893,74,76,1024,0.3
dinov2-large,patch_mean,250,11,0.90256,74,76,1024,0.3
dinov2-large,patch_max,50,1,0.766667,15,15,1024,0.11
dinov2-large,patch_max,50,5,0.862222,15,15,1024,0.11
dinov2-large,patch_max,50,11,0.782222,15,15,1024,0.11
dinov2-large,patch_max,100,1,0.816667,30,30,1024,0.2
