model,pooling,dataset_size,C,auc,test_pos,test_neg,embedding_dim,runtime_sec
dinov2-small,cls,50,0.01,0.791111,15,15,384,0.04
dinov2-small,cls,50,0.1,0.795556,15,15,384,0.04
dinov2-small,cls,50,1.0,0.791111,15,15,384,0.04
dinov2-small,cls,50,10.0,0.791111,15,15,384,0.04
dinov2-small,cls,100,0.01,0.844444,30,30,384,0.06
dinov2-small,cls,100,0.1,0.832222,30,30,384,0.06
dinov2-small,cls,100,1.0,0.818889,30,30,384,0.06
dinov2-small,cls,100,10.0,0.814444,30,30,384,0.06
dinov2-small,cls,250,0.01,0.866465,74,76,384,0.09
dinov2-small,cls,250,0.1,0.870377,74,76,384,0.09
dinov2-small,cls,250,1.0,0.870377,74,76,384,0.09
dinov2-small,cls,250,10.0,0.864154,74,76,384,0.09
dinov2-small,patch_mean,50,0.01,0.88,15,15,384,0.03
dinov2-small,patch_mean,50,0.1,0.857778,15,15,384,0.03
dinov2-small,patch_mean,50,1.0,0.844444,15,15,384,0.03
dinov2-small,patch_mean,50,10.0,0.844444,15,15,384,0.03
dinov2-small,patch_mean,100,0.01,0.875556,30,30,384,0.05
dinov2-small,patch_mean,100,0.1,0.853333,30,30,384,0.05
dinov2-small,patch_mean,100,1.0,0.828889,30,30,384,0.05
dinov2-small,patch_mean,100,10.0,0.824444,30,30,384,0.05
dinov2-small,patch_mean,250,0.01,0.897582,74,76,384,0.08
dinov2-small,patch_mean,250,0.1,0.891358,74,76,384,0.08
dinov2-small,patch_mean,250,1.0,0.878201,74,76,384,0.08
dinov2-small,patch_mean,250,10.0,0.873755,74,76,384,0.08
dinov2-small,patch_max,50,0.01,0.92,15,15,384,0.02
dinov2-small,patch_max,50,0.1,0.92,15,15,384,0.02
dinov2-small,patch_max,50,1.0,0.92,15,15,384,0.02
dinov2-small,patch_max,50,10.0,0.915556,15,15,384,0.02
dinov2-small,patch_max,100,0.01,0.865556,30,30,384,0.05
dinov2-small,patch_max,100,0.1,0.838889,30,30,384,0.05
dinov2-small,patch_max,100,1.0,0.827778,30,30,384,0.05
dinov2-small,patch_max,100,10.0,0.82,30,30,384,0.05
dinov2-small,patch_max,250,0.01,0.882824,74,76,384,0.07
dinov2-small,patch_max,250,0.1,0.881579,74,76,384,0.07
dinov2-small,patch_max,250,1.0,0.871088,74,76,384,0.07
dinov2-small,patch_max,250,10.0,0.871266,74,76,384,0.07
dinov2-small,patch_gem,50,0.01,0.928889,15,15,384,0.03
dinov2-small,patch_gem,50,0.1,0.928889,15,15,384,0.03
dinov2-small,patch_gem,50,1.0,0.928889,15,15,384,0.03
dinov2-small,patch_gem,50,10.0,0.928889,15,15,384,0.03
dinov2-small,patch_gem,100,0.01,0.895556,30,30,384,0.05
dinov2-small,patch_gem,100,0.1,0.881111,30,30,384,0.05
dinov2-small,patch_gem,100,1.0,0.872222,30,30,384,0.05
dinov2-small,patch_gem,100,10.0,0.868889,30,30,384,0.05
dinov2-small,patch_gem,250,0.01,0.907361,74,76,384,0.07
dinov2-small,patch_gem,250,0.1,0.899538,74,76,384,0.07
dinov2-small,patch_gem,250,1.0,0.888158,74,76,384,0.07
dinov2-small,patch_gem,250,10.0,0.886558,74,76,384,0.07
dinov2-small,cls_patch,50,0.01,0.853333,15,15,768,0.04
dinov2-small,cls_patch,50,0.1,0.822222,15,15,768,0.04
dinov2-small,cls_patch,50,1.0,0.813333,15,15,768,0.04
dinov2-small,cls_patch,50,10.0,0.804444,15,15,768,0.04
dinov2-small,cls_patch,100,0.01,0.865556,30,30,768,0.06
dinov2-small,cls_patch,100,0.1,0.846667,30,30,768,0.06
dinov2-small,cls_patch,100,1.0,0.838889,30,30,768,0.06
dinov2-small,cls_patch,100,10.0,0.833333,30,30,768,0.06
dinov2-small,cls_patch,250,0.01,0.896337,74,76,768,0.09
dinov2-small,cls_patch,250,0.1,0.893137,74,76,768,0.09
dinov2-small,cls_patch,250,1.0,0.890825,74,76,768,0.09
dinov2-small,cls_patch,250,10.0,0.88638,74,76,768,0.09
dinov2-small,multicrop,50,0.01,0.817778,15,15,384,0.03
dinov2-small,multicrop,50,0.1,0.808889,15,15,384,0.03
dinov2-small,multicrop,50,1.0,0.8,15,15,384,0.03
dinov2-small,multicrop,50,10.0,0.791111,15,15,384,0.03
dinov2-small,multicrop,100,0.01,0.86,30,30,384,0.05
dinov2-small,multicrop,100,0.1,0.848889,30,30,384,0.06
dinov2-small,multicrop,100,1.0,0.848889,30,30,384,0.06
dinov2-small,multicrop,100,10.0,0.835556,30,30,384,0.06
dinov2-small,multicrop,250,0.01,0.885313,74,76,384,0.08
