model,pooling,dataset_size,auc,test_pos,test_neg,embedding_dim,val_loss,runtime_sec
dinov2-small,cls,50,0.848889,15,15,384,0.530555,1.9
dinov2-small,cls,100,0.846667,30,30,384,0.515144,2.04
dinov2-small,cls,250,0.877134,74,76,384,0.318536,2.31
dinov2-small,patch_mean,50,0.88,15,15,384,0.647613,0.07
dinov2-small,patch_mean,100,0.857778,30,30,384,0.555885,0.18
dinov2-small,patch_mean,250,0.909139,74,76,384,0.347273,0.41
dinov2-small,patch_max,50,0.928889,15,15,384,0.63669,0.07
dinov2-small,patch_max,100,0.863333,30,30,384,0.529796,0.19
dinov2-small,patch_max,250,0.893492,74,76,384,0.386711,0.41
dinov2-small,patch_gem,50,0.888889,15,15,384,0.660262,0.06
dinov2-small,patch_gem,100,0.891111,30,30,384,0.551876,0.17
dinov2-small,patch_gem,250,0.902027,74,76,384,0.360946,0.44
dinov2-small,cls_patch,50,0.817778,15,15,768,0.651298,0.07
dinov2-small,cls_patch,100,0.881111,30,30,768,0.540399,0.17
dinov2-small,cls_patch,250,0.894915,74,76,768,0.380289,0.39
dinov2-small,multicrop,50,0.835556,15,15,384,0.505071,0.13
dinov2-small,multicrop,100,0.873333,30,30,384,0.501459,0.27
dinov2-small,multicrop,250,0.904339,74,76,384,0.376643,0.54
dinov2-base,cls,50,0.813333,15,15,768,0.628069,0.08
dinov2-base,cls,100,0.867778,30,30,768,0.579479,0.18
dinov2-base,cls,250,0.880334,74,76,768,0.433448,0.48
dinov2-base,patch_mean,50,0.866667,15,15,768,0.65989,0.07
dinov2-base,patch_mean,100,0.857778,30,30,768,0.562233,0.16
dinov2-base,patch_mean,250,0.907895,74,76,768,0.405046,0.42
dinov2-base,patch_max,50,0.804444,15,15,768,0.695273,0.06
dinov2-base,patch_max,100,0.892222,30,30,768,0.506363,0.16
dinov2-base,patch_max,250,0.889225,74,76,768,0.286047,0.49
dinov2-base,patch_gem,50,0.782222,15,15,768,0.638065,0.07
dinov2-base,patch_gem,100,0.877778,30,30,768,0.471299,0.18
dinov2-base,patch_gem,250,0.91074,74,76,768,0.257453,0.5
dinov2-base,cls_patch,50,0.853333,15,15,1536,0.614018,0.09
dinov2-base,cls_patch,100,0.87,30,30,1536,0.564914,0.18
