model,pooling,dataset_size,C,seed,auc,test_pos,test_neg,embedding_dim,original_auc,runtime_sec
clip-vitl14,multicrop,50,10.0,7,0.933333,15,15,1024,0.9867,0.08
clip-vitl14,multicrop,50,10.0,17,0.92,15,15,1024,0.9867,0.1
clip-vitl14,multicrop,50,10.0,23,0.808889,15,15,1024,0.9867,0.12
clip-vitl14,multicrop,50,10.0,99,0.937778,15,15,1024,0.9867,0.14
clip-vitl14,multicrop,50,10.0,1234,0.862222,15,15,1024,0.9867,0.16
clip-vitl14,cls,50,10.0,7,0.951111,15,15,1024,0.9778,0.07
clip-vitl14,cls,50,10.0,17,0.911111,15,15,1024,0.9778,0.09
clip-vitl14,cls,50,10.0,23,0.826667,15,15,1024,0.9778,0.11
clip-vitl14,cls,50,10.0,99,0.92,15,15,1024,0.9778,0.14
clip-vitl14,cls,50,10.0,1234,0.866667,15,15,1024,0.9778,0.16
clip-vitl14,cls_patch,250,10.0,7,0.975107,74,76,2048,0.9721,1.24
clip-vitl14,cls_patch,250,10.0,17,0.946844,75,75,2048,0.9721,2.4
clip-vitl14,cls_patch,250,10.0,23,0.968178,75,75,2048,0.9721,3.56
clip-vitl14,cls_patch,250,10.0,99,0.964444,75,75,2048,0.9721,4.54
clip-vitl14,cls_patch,250,10.0,1234,0.945244,75,75,2048,0.9721,5.29
clip-vitl14,multicrop,250,0.1,7,0.971017,74,76,1024,0.9669,0.1
clip-vitl14,multicrop,250,0.1,17,0.944711,75,75,1024,0.9669,0.13
clip-vitl14,multicrop,250,0.1,23,0.966578,75,75,1024,0.9669,0.16
clip-vitl14,multicrop,250,0.1,99,0.958933,75,75,1024,0.9669,0.19
clip-vitl14,multicrop,250,0.1,1234,0.9264,75,75,1024,0.9669,0.23
clip-vitl14,cls,250,0.1,7,0.97404,74,76,1024,0.9651,0.05
clip-vitl14,cls,250,0.1,17,0.942044,75,75,1024,0.9651,0.08
clip-vitl14,cls,250,0.1,23,0.966222,75,75,1024,0.9651,0.11
clip-vitl14,cls,250,0.1,99,0.972089,75,75,1024,0.9651,0.14
clip-vitl14,cls,250,0.1,1234,0.927644,75,75,1024,0.9651,0.17
clip-vitl14,cls_patch,50,1.0,7,0.951111,15,15,2048,0.9644,0.06
clip-vitl14,cls_patch,50,1.0,17,0.893333,15,15,2048,0.9644,0.08
clip-vitl14,cls_patch,50,1.0,23,0.884444,15,15,2048,0.9644,0.11
clip-vitl14,cls_patch,50,1.0,99,0.928889,15,15,2048,0.9644,0.13
clip-vitl14,cls_patch,50,1.0,1234,0.888889,15,15,2048,0.9644,0.16
clip-vitl14,patch_mean,250,1.0,7,0.960171,74,76,1024,0.9545,0.05
clip-vitl14,patch_mean,250,1.0,17,0.945956,75,75,1024,0.9545,0.08
clip-vitl14,patch_mean,250,1.0,23,0.942044,75,75,1024,0.9545,0.12
clip-vitl14,patch_mean,250,1.0,99,0.931733,75,75,1024,0.9545,0.15
clip-vitl14,patch_mean,250,1.0,1234,0.928,75,75,1024,0.9545,0.18
clip-vitl14,patch_gem,250,1.0,7,0.957859,74,76,1024,0.9429,0.08
clip-vitl14,patch_gem,250,1.0,17,0.935111,75,75,1024,0.9429,0.11
clip-vitl14,patch_gem,250,1.0,23,0.945067,75,75,1024,0.9429,0.14
clip-vitl14,patch_gem,250,1.0,99,0.924444,75,75,1024,0.9429,0.17
clip-vitl14,patch_gem,250,1.0,1234,0.929067,75,75,1024,0.9429,0.2
siglip-so400m,cls_patch,50,1.0,7,0.706667,15,15,2304,0.9378,0.09
siglip-so400m,cls_patch,50,1.0,17,0.693333,15,15,2304,0.9378,0.11
siglip-so400m,cls_patch,50,1.0,23,0.768889,15,15,2304,0.9378,0.15
siglip-so400m,cls_patch,50,1.0,99,0.942222,15,15,2304,0.9378,0.18
siglip-so400m,cls_patch,50,1.0,1234,0.835556,15,15,2304,0.9378,0.2
clip-vitl14,patch_max,250,10.0,7,0.928165,74,76,1024,0.9292,0.04
clip-vitl14,patch_max,250,10.0,17,0.906667,75,75,1024,0.9292,0.07
clip-vitl14,patch_max,250,10.0,23,0.928711,75,75,1024,0.9292,0.1
clip-vitl14,patch_max,250,10.0,99,0.914133,75,75,1024,0.9292,0.13
clip-vitl14,patch_max,250,10.0,1234,0.908444,75,75,1024,0.9292,0.16
